y_pred,y_conf,modello    
0,1.0,1
0,1.0,1
0,0.9949372724402125,1
0,1.0,1
0,1.0,1
0,0.999164174556396,1
0,0.974965956102277,1
0,0.9999999999575706,1
0,0.9999999999575706,1
0,0.9009651527487033,1
1,0.46741180501481117,1
0,0.9999999146643489,1
0,1.0,1
0,1.0,1
0,0.9949372724402125,1
0,1.0,1
0,0.9999610830321175,1
0,0.9949372724402125,1
0,1.0,1
0,1.0,1
0,0.974965956102277,1
0,0.974965956102277,1
0,1.0,1
0,0.974965956102277,1
0,0.974965956102277,1
0,0.9999999787630507,1
0,1.0,1
0,0.8208457855828478,1
0,0.9487030423970314,1
0,0.9999988409298302,1
0,1.0,1
0,0.698539358672208,1
0,0.999164174556396,1
0,1.0,1
0,1.0,1
0,0.999164174556396,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.9949372724402125,1
0,0.9999873062500548,1
0,1.0,1
0,0.9999999999987951,1
0,1.0,1
0,0.9999610830321175,1
0,1.0,1
0,0.974965956102277,1
1,0.46741180501481117,1
1,0.46741180501481117,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.999164174556396,1
0,0.9999996765832437,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
1,0.46741180501481117,1
0,1.0,1
0,0.9999610830321175,1
0,1.0,1
1,0.46741180501481117,1
0,0.9999999787630507,1
0,0.9998864366909009,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.9999999787630507,1
0,1.0,1
0,1.0,1
0,0.999164174556396,1
0,1.0,1
0,1.0,1
0,1.0,1
1,0.30146064132779204,1
0,1.0,1
1,0.46741180501481117,1
0,1.0,1
0,0.9999999999999762,1
0,0.9999610830321175,1
0,0.8208457855828478,1
0,0.9999999999575706,1
0,0.9999610830321175,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.9884422883455161,1
0,1.0,1
0,1.0,1
0,0.9999999997769109,1
0,1.0,1
0,0.9009651527487033,1
0,0.9999999997769109,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.974965956102277,1
0,0.9999988409298302,1
0,0.9999988409298302,1
0,0.698539358672208,1
0,1.0,1
0,0.9999873062500548,1
0,0.9999999999999762,1
0,1.0,1
0,0.9487030423970314,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.974965956102277,1
0,0.9999873062500548,1
0,0.9999988409298302,1
0,1.0,1
1,0.30146064132779204,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.8208457855828478,1
0,0.9999999787630507,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.9487030423970314,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.9999999999999762,1
0,1.0,1
0,0.9884422883455161,1
0,1.0,1
0,0.999164174556396,1
0,1.0,1
0,1.0,1
0,0.9949372724402125,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.974965956102277,1
0,1.0,1
0,1.0,1
0,1.0,1
1,0.30146064132779204,1
0,1.0,1
0,0.9999999787630507,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.9996843623089559,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.974965956102277,1
0,0.974965956102277,1
0,0.9884422883455161,1
0,1.0,1
0,0.9999999999575706,1
0,0.9949372724402125,1
0,0.9999999950301521,1
0,0.9999999146643489,1
0,1.0,1
1,0.46741180501481117,1
0,0.974965956102277,1
0,1.0,1
0,1.0,1
0,1.0,1
1,0.46741180501481117,1
0,1.0,1
0,0.9999988409298302,1
0,0.974965956102277,1
0,0.9998864366909009,1
0,1.0,1
1,0.30146064132779204,1
0,0.974965956102277,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
1,0.30146064132779204,1
0,1.0,1
0,0.9978916334145003,1
0,1.0,1
1,0.30146064132779204,1
0,0.974965956102277,1
0,1.0,1
0,0.9884422883455161,1
1,0.46741180501481117,1
1,0.30146064132779204,1
0,0.9949372724402125,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.9949372724402125,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.8208457855828478,1
0,1.0,1
0,1.0,1
0,0.8208457855828478,1
0,1.0,1
0,1.0,1
0,0.9884422883455161,1
0,0.9949372724402125,1
0,0.698539358672208,1
0,0.9999999999575706,1
0,1.0,1
0,0.8208457855828478,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.9999999146643489,1
0,1.0,1
0,0.9884422883455161,1
0,1.0,1
0,1.0,1
0,1.0,1
0,1.0,1
0,0.999164174556396,1
0,1.0,1
1,0.46741180501481117,1
0,1.0,1
0,1.0,1
0,0.999164174556396,1
0,0.9999999999575706,1
0,1.0,1
0,0.9996843623089559,1
0,1.0,1
1,0.30146064132779204,1
0,1.0,1
0,0.9999999787630507,1
0,1.0,1
0,1.0,1
0,1.0,1
1,0.30146064132779204,1
0,1.0,1
0,0.974965956102277,1
0,1.0,1
0,0.9999999787630507,1
0,0.9999610830321175,1
0,1.0,1
0,0.9884422883455161,1
0,0.9949372724402125,1
0,0.9949372724402125,1
0,0.8208457855828478,1
0,1.0,1
0,0.9009651527487033,1
1,0.46741180501481117,1
1,0.46741180501481117,1
1,0.46741180501481117,1
1,0.46741180501481117,1
1,0.46741180501481117,1
1,0.46741180501481117,1
1,0.46741180501481117,1
0,1.0,2
0,0.9999999999999971,2
1,0.46741180501481117,2
0,0.9884422883455161,2
1,0.46741180501481117,2
0,0.9009651527487033,2
0,1.0,2
0,0.9999610830321175,2
0,0.9949372724402125,2
0,1.0,2
0,0.9999996765832437,2
1,0.46741180501481117,2
0,0.9999999999999762,2
0,0.9487030423970314,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9999999999999971,2
0,0.9999999999999762,2
0,0.9009651527487033,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9999999999999762,2
0,1.0,2
0,0.9999988409298302,2
1,0.46741180501481117,2
0,0.974965956102277,2
0,0.999164174556396,2
0,1.0,2
0,0.9999999999999762,2
0,1.0,2
0,0.9999999999999971,2
0,0.9999873062500548,2
0,0.9999960633849861,2
0,0.9978916334145003,2
0,1.0,2
0,0.9998864366909009,2
0,0.9999999146643489,2
0,1.0,2
0,1.0,2
0,0.9996843623089559,2
0,1.0,2
0,0.9999999999999762,2
0,1.0,2
0,0.9999999999999762,2
0,1.0,2
0,0.9999999999999762,2
0,0.999164174556396,2
0,0.9999999999999762,2
0,0.9999960633849861,2
0,0.9009651527487033,2
0,0.9999960633849861,2
0,0.9009651527487033,2
0,0.9999988409298302,2
0,0.9999999999999762,2
0,0.9999960633849861,2
0,0.9009651527487033,2
0,1.0,2
0,0.9999960633849861,2
0,0.9009651527487033,2
0,1.0,2
0,0.9009651527487033,2
0,1.0,2
0,0.9999873062500548,2
0,1.0,2
0,0.9009651527487033,2
0,0.9999988409298302,2
0,0.9487030423970314,2
0,0.9999999146643489,2
1,0.46741180501481117,2
0,0.9999873062500548,2
0,0.9999610830321175,2
1,0.46741180501481117,2
0,0.9999988409298302,2
0,0.9487030423970314,2
0,1.0,2
0,1.0,2
0,0.9999988409298302,2
0,1.0,2
0,0.9998864366909009,2
0,1.0,2
0,0.9999999999999762,2
0,0.9999988409298302,2
0,1.0,2
0,0.9999999999999762,2
0,0.9999999950301521,2
0,0.9999873062500548,2
0,1.0,2
0,0.9999988409298302,2
0,0.9999999146643489,2
0,0.9009651527487033,2
0,0.9999960633849861,2
0,0.9009651527487033,2
0,0.9999999146643489,2
0,0.9999610830321175,2
0,1.0,2
0,1.0,2
0,0.9487030423970314,2
0,0.9009651527487033,2
0,0.9009651527487033,2
0,0.999164174556396,2
0,0.9999999999999971,2
0,1.0,2
0,0.9999999999999971,2
0,0.9487030423970314,2
0,0.9999999999999762,2
0,0.9999999989101169,2
0,1.0,2
1,0.46741180501481117,2
0,0.9999999999999762,2
0,0.9999960633849861,2
0,0.9009651527487033,2
0,1.0,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,0.9999999146643489,2
0,0.9009651527487033,2
0,1.0,2
0,0.9487030423970314,2
0,0.9999988409298302,2
0,0.9999960633849861,2
0,1.0,2
1,0.46741180501481117,2
0,1.0,2
0,0.9999988409298302,2
0,0.9999988409298302,2
0,1.0,2
0,0.9999999146643489,2
0,1.0,2
0,0.9998864366909009,2
0,0.9999999999999762,2
0,0.9009651527487033,2
0,0.9999988409298302,2
0,0.9009651527487033,2
0,1.0,2
0,0.9487030423970314,2
0,0.9999960633849861,2
0,1.0,2
0,1.0,2
0,0.9998864366909009,2
0,0.9999999999999762,2
0,0.9999999999999762,2
0,0.9999988409298302,2
0,0.9999999999999762,2
0,0.9998864366909009,2
0,0.9999960633849861,2
0,1.0,2
0,0.999164174556396,2
0,0.9009651527487033,2
0,0.9999999989101169,2
0,0.9009651527487033,2
1,0.46741180501481117,2
0,0.9487030423970314,2
1,0.46741180501481117,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9999960633849861,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9009651527487033,2
0,0.9999999999999762,2
0,0.9999999999999971,2
0,0.9999999999999762,2
1,0.46741180501481117,2
0,0.9999999146643489,2
0,0.9999610830321175,2
1,0.46741180501481117,2
0,0.9999988409298302,2
0,1.0,2
0,1.0,2
0,0.9487030423970314,2
0,0.9999999999999762,2
0,0.9998864366909009,2
0,1.0,2
0,0.9999610830321175,2
0,0.9009651527487033,2
0,0.9999988409298302,2
0,0.9999988409298302,2
1,0.46741180501481117,2
0,1.0,2
0,0.9009651527487033,2
0,0.9999960633849861,2
0,0.9999999989101169,2
0,0.9009651527487033,2
0,0.9999988409298302,2
0,0.9999610830321175,2
0,0.9999873062500548,2
0,0.9009651527487033,2
0,1.0,2
0,0.9999999999999971,2
0,1.0,2
0,0.9009651527487033,2
0,0.9999999999999762,2
0,0.9999999989101169,2
0,0.9487030423970314,2
0,0.9999988409298302,2
0,0.9009651527487033,2
0,0.9999999999999762,2
0,1.0,2
1,0.46741180501481117,2
0,0.9999999999999762,2
0,0.9999988409298302,2
0,0.9999873062500548,2
0,1.0,2
0,0.9487030423970314,2
0,0.9009651527487033,2
0,0.9999999999999762,2
0,0.9999999999999762,2
0,1.0,2
0,0.9999988409298302,2
0,0.9009651527487033,2
0,0.9999999999999762,2
0,1.0,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,0.999164174556396,2
0,0.9999999999999762,2
1,0.46741180501481117,2
0,0.9999610830321175,2
0,0.9999999989101169,2
1,0.46741180501481117,2
0,0.9999610830321175,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,0.9999999999999762,2
0,1.0,2
1,0.46741180501481117,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9009651527487033,2
0,1.0,2
0,0.9999960633849861,2
0,1.0,2
0,0.9999999787630507,2
1,0.46741180501481117,2
0,1.0,2
0,0.9999960633849861,2
0,0.9999999999999762,2
0,0.9999960633849861,2
0,0.9999996765832437,2
0,0.9999999999999762,2
0,0.9949372724402125,2
0,0.9009651527487033,2
0,0.9999999999999971,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,0.9999988409298302,2
0,0.9999960633849861,2
0,1.0,2
0,1.0,2
0,0.999164174556396,2
0,0.9009651527487033,2
0,0.9999988409298302,2
0,0.9999960633849861,2
0,0.9999988409298302,2
0,1.0,2
1,0.46741180501481117,2
0,1.0,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9999988409298302,2
0,0.999164174556396,2
0,1.0,2
0,0.9999999999999762,2
0,0.9999999999999762,2
0,0.9999999999999762,2
0,1.0,2
0,0.9999988409298302,2
1,0.46741180501481117,2
0,1.0,2
0,0.9999988409298302,2
0,0.9487030423970314,2
0,1.0,2
0,0.9999960633849861,2
0,1.0,2
0,0.9009651527487033,2
0,0.9999999989101169,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9999999787630507,2
0,0.999164174556396,2
0,1.0,2
1,0.46741180501481117,2
0,0.9999988409298302,2
0,1.0,2
0,0.9487030423970314,2
0,1.0,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9009651527487033,2
0,0.9999999999999762,2
0,0.9999999146643489,2
0,0.9009651527487033,2
0,0.9487030423970314,2
0,1.0,2
0,0.9999988409298302,2
0,1.0,2
0,0.9949372724402125,2
0,1.0,2
0,0.9999960633849861,2
0,0.9999988409298302,2
0,0.9999988409298302,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.974965956102277,2
0,1.0,2
0,0.9999988409298302,2
0,0.9999873062500548,2
0,0.999164174556396,2
0,0.9009651527487033,2
0,1.0,2
0,0.9884422883455161,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9487030423970314,2
0,0.9999999999999762,2
1,0.46741180501481117,2
0,0.9999999999999762,2
0,0.9999999146643489,2
0,0.9009651527487033,2
0,0.9999999999999762,2
0,0.9999999999999762,2
0,1.0,2
0,1.0,2
0,0.9487030423970314,2
0,0.9009651527487033,2
1,0.46741180501481117,2
0,1.0,2
0,0.9009651527487033,2
0,0.9999999146643489,2
0,0.9487030423970314,2
0,1.0,2
0,0.9009651527487033,2
1,0.46741180501481117,2
1,0.46741180501481117,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.999164174556396,2
0,1.0,2
0,0.9009651527487033,2
0,1.0,2
0,0.9487030423970314,2
0,0.9999999989101169,2
0,0.9999999999999762,2
0,0.9487030423970314,2
1,0.46741180501481117,2
0,1.0,2
0,1.0,2
1,0.46741180501481117,2
0,0.9999999989101169,2
0,0.9999960633849861,2
0,0.9487030423970314,2
0,1.0,2
0,1.0,2
0,0.9999999999998224,2
0,0.9999996765832437,2
0,0.9999873062500548,2
0,0.9999988409298302,2
0,0.9999999999999762,2
0,1.0,2
0,0.9999960633849861,2
0,0.9487030423970314,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,0.9999999999575706,2
0,1.0,2
0,1.0,2
0,0.9487030423970314,2
0,0.9999960633849861,2
0,1.0,2
0,1.0,2
0,0.9999999999999762,2
0,0.9999999146643489,2
0,0.9009651527487033,2
0,1.0,2
0,0.999164174556396,2
0,0.9978916334145003,2
0,0.9009651527487033,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9999988409298302,2
0,0.9487030423970314,2
0,1.0,2
0,0.9009651527487033,2
0,1.0,2
1,0.46741180501481117,2
0,0.9999988409298302,2
0,0.9999999999999762,2
0,0.9009651527487033,2
0,0.9978916334145003,2
0,0.9999960633849861,2
1,0.46741180501481117,2
0,0.9009651527487033,2
1,0.46741180501481117,2
0,0.9999988409298302,2
0,0.974965956102277,2
0,0.9999988409298302,2
0,0.9999988409298302,2
0,1.0,2
0,0.9999988409298302,2
0,0.9009651527487033,2
0,0.9009651527487033,2
0,0.9999960633849861,2
0,1.0,2
0,0.9999996765832437,2
0,0.9999960633849861,2
0,0.9009651527487033,2
0,0.9999999989101169,2
0,0.9999610830321175,2
0,0.9009651527487033,2
0,0.9999999999999762,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,0.9999610830321175,2
0,1.0,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9009651527487033,2
0,1.0,2
0,0.9999999999999762,2
0,1.0,2
0,1.0,2
0,1.0,2
0,1.0,2
0,1.0,2
1,0.46741180501481117,2
0,1.0,2
0,0.9999988409298302,2
0,0.9999960633849861,2
0,0.9999988409298302,2
0,0.9999999999999762,2
0,0.9009651527487033,2
0,0.999164174556396,2
0,0.9009651527487033,2
0,0.9009651527487033,2
0,0.9999999146643489,2
0,0.9009651527487033,2
0,0.9487030423970314,2
1,0.46741180501481117,2
0,0.9487030423970314,2
0,1.0,2
0,1.0,2
1,0.46741180501481117,2
0,0.9999610830321175,2
0,0.9009651527487033,2
1,0.46741180501481117,2
0,0.9949372724402125,2
0,0.9999960633849861,2
0,0.9009651527487033,2
0,0.999164174556396,2
0,0.9009651527487033,2
0,0.9009651527487033,2
0,0.9999999999999971,2
0,1.0,2
0,0.9999999999999762,2
0,0.9009651527487033,2
0,1.0,2
0,0.9009651527487033,2
0,0.9009651527487033,2
0,0.9999999146643489,2
0,0.9999999146643489,2
0,1.0,2
0,1.0,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
1,0.46741180501481117,2
0,1.0,2
0,0.9487030423970314,2
0,0.9999999146643489,2
0,0.9009651527487033,2
0,1.0,2
0,1.0,2
0,1.0,2
0,0.9999999146643489,2
0,1.0,2
0,0.9009651527487033,2
0,0.9999999999999762,2
0,0.9999988409298302,2
0,1.0,2
0,0.9999999999999762,2
1,0.46741180501481117,2
0,0.9009651527487033,2
0,0.9999960633849861,2
1,0.46741180501481117,2
0,1.0,2
0,0.9999873062500548,2
0,0.9009651527487033,2
1,0.46741180501481117,2
0,0.9999999999999762,2
0,1.0,2
0,0.9487030423970314,2
0,1.0,2
0,0.9999999989101169,2
0,1.0,2
0,1.0,2
0,0.9978916334145003,2
0,0.9999999999999762,2
0,0.9999999146643489,2
0,0.999164174556396,2
0,0.9999999999999971,2
0,0.9009651527487033,2
0,0.9009651527487033,2
0,0.9949372724402125,2
0,0.9999999999999762,2
0,0.9009651527487033,2
0,0.999164174556396,2
0,1.0,2
0,0.9999999999999762,2
0,1.0,2
0,0.9487030423970314,2
0,1.0,2
1,0.46741180501481117,2
0,0.9999960633849861,2
0,0.9884422883455161,2
0,0.9999988409298302,2
0,0.9999988409298302,2
0,1.0,2
1,0.46741180501481117,2
0,0.9978916334145003,2
0,0.9884422883455161,2
0,0.9999999146643489,2
0,0.9999999146643489,2
1,0.46741180501481117,2
1,0.46741180501481117,2
0,1.0,2
0,0.9999960633849861,2
0,0.9009651527487033,2
0,0.9999999787630507,2
0,1.0,2
0,1.0,2
0,0.9999988409298302,2
0,1.0,2
0,0.9009651527487033,2
0,0.9999999146643489,2
0,0.9999999999999762,2
0,0.9487030423970314,2
0,0.9009651527487033,2
0,0.9999960633849861,2
0,1.0,2
0,0.9009651527487033,2
0,1.0,2
0,0.9009651527487033,2
0,0.9999988409298302,2
0,0.9999999999999762,2
1,0.46741180501481117,2
0,0.9999988409298302,2
0,0.9487030423970314,2
0,0.9999999999999762,2
0,1.0,2
0,0.9999999999987951,2
0,0.9487030423970314,2
0,1.0,2
0,0.9999873062500548,2
0,0.974965956102277,2
0,0.9009651527487033,2
1,0.46741180501481117,2
0,1.0,2
0,0.9009651527487033,2
0,0.9999988409298302,2
1,0.46741180501481117,2
0,0.9999960633849861,2
0,1.0,2
0,1.0,2
0,0.9999988409298302,2
0,0.9999999999999971,2
0,0.9487030423970314,2
0,0.9999999999999971,2
0,0.9999988409298302,2
0,1.0,2
0,0.9999999999999762,2
0,0.999164174556396,2
0,0.9999988409298302,2
0,0.9999960633849861,2
0,0.9999999999999971,2
0,1.0,2
0,0.9999988409298302,2
1,0.46741180501481117,2
0,0.9999999146643489,2
0,0.9009651527487033,2
0,0.9999999787630507,2
0,0.9999999999999762,2
0,1.0,2
0,1.0,2
0,0.9999960633849861,2
0,0.9999999989101169,2
0,0.9009651527487033,2
0,0.9999988409298302,2
1,0.46741180501481117,2
0,0.9999999999999762,2
0,1.0,2
1,0.46741180501481117,2
0,0.9999988409298302,2
0,0.9999960633849861,2
0,1.0,2
0,0.9999999999999762,2
1,0.46741180501481117,2
1,0.46741180501481117,2
1,0.46741180501481117,2
